merchant_id,kam,main_merchant_name,main_bl
5ae2a81d8b45130b95e911a9,w/o KAM,Wuhan Yingjiang,
5b4467fb8b2c370b355a2a23,Katya,Love Match,
5be42ef01436d40bab4277f3,Mengping,Yiyang County Ditong,
5d1586788b45130b0122226f,Victoria,TOSP,
60aca67678b22dd2d228219e,Vadim,Bairuilun,
6141f5b7451fcb6b034054f0,Mengping,21 top,Fashion
61b07803ea6ef6255e83353e,Vadim,milphen,
61dc37f728ca9742b7eeef81,w/o KAM,XiuQiao,
623c361f46b2d36f4477ac02,Laura,louhansong,
63f07bf46048bc4fdb033a10,Yilia,ETST WENDY 09,Fashion
5d5f7b3f36b54d0b0113aa66,Vadim,PanMy,
5ea3b1bb8b2c370b014e93c3,Yilia,Xishui,
61485acc9b2b7fdb617531b8,w/o KAM,yutang,
60c8809294d51466f73dcbf7,Katya,Million soft,
61cbd53d53bb9e46c1652c5e,Katya,Wucifang,
5ae95f0b1436d40b8f82666b,Annan,Fashion Store - Lalang,
5aec01928b2c370bdbc59f1f,Annan,Fashion Store - Lalang,
1481824589704878804-104-11-629-1394496859,Loria He,Comeandbuytech,
61b2dd2f14cf51d7aa774a81,Maria,e76547740,
5d7f32458b45130b012e0440,Monica,Junuotuo,
5cfcd9101436d40b0199ffd8,Ida,2019qihanghao,
5d64ec2228fc710b0170b0b3,Ida,torries999,
5dc643f236b54d0b014018a7,Maria,Xinbaogou,
5ba62a318b45130bf9153283,Annan,Feitong,
5de6283736b54d0b01fe7010,Annan,Feitong,
6080ee74f404daec4263a8a8,Annan,Feitong,
60a4aa4ede13f695bd172ff3,Annan,Feitong,
60a4a53a11331c2f7b095c4d,Annan,Feitong,
60c9a9c694d51466f78e20ed,Annan,Feitong,
608bc3301c305bd866d98d2b,Annan,Feitong,
60e839c6488e9d4bc447f32b,Annan,Feitong,
60d2cbdc12c0841d9ed6c6cc,Annan,Feitong,
608bd368826171c8ceefac51,Annan,Feitong,
5d00b9086ecda80b01e6b7b5,Annan,Feitong,
60d57c2e18f7357816c6309c,Annan,Feitong,
5c3ef6df8b45130b01b21a3d,Annan,Feitong,
1512058985611205639-76-11-709-314937559,Annan,Feitong,
5bc8d8db6ecda80bc7254831,Annan,Feitong,
5ba626181436d40baca1af8b,Annan,Feitong,
5bed26ba1436d40be19c6db3,Annan,Feitong,
6129fddbe826530c57d3a689,Yilia,Eastway Brand,
5df74cf18b2c370b01121fef,Loria He,Guyi,
60c857698037e279a134a5d6,Ida,Little bee,
1510770926014486775-107-11-709-2088178538,Monica,Jinhua Ruijin,
5b9224688b2c370bf83e294e,Mengping,Anhui Milano Trading,Fashion
60c84f0e0413d990a62e3cc6,w/o KAM,Tongji,
5ffbf7e26b280a0006ffb9f4,Annan,ChangShu XiaoDiLe,
619ca235b0a5ade7b4be33fe,w/o KAM,,
5dfd96ac8b45130b015923f5,Monica,,
641191e9846e9f8bb43d4429,w/o KAM,,
1479114284851799852-2-11-118-1577502676,Annan,Feitong,
640c1d53cbad7d37ad47c290,w/o KAM,91440118MAC465GY97,
6166f9790b137e8f522fea49,Ida,,
5d43c1fa36b54d0b01821245,w/o KAM,,
60c321b29379309661ba163e,w/o KAM,,
61a1fcc9d5fbb21c4b4b4df1,w/o KAM,,
62171e32584d0f7edf26187f,w/o KAM,,
6409b7f17cc342371b633907,w/o KAM,,
1520647879878453437-15-11-26193-2691442827,Olina,,
5fca5546c7d7ec0006124ffa,Vadim,ymjy,Fashion
60c96fd994d51466f7860441,Marf,yanghuiqi,
6125b42dd3bea33a562b2901,w/o KAM,Katyusha,
60d2e0724b7eac2c3c884a7d,Vadim,YCC,
61d78ef8f370d409fe8b0782,Maia,,
5cef87b41436d40b013da892,Vadim,,
5e7310bd8b2c370b014e7a49,Monica,,
5b9259fb8b45130bc3f92e14,w/o KAM,,
60b7111c472b7fb79eccafd5,w/o KAM,,
60c7400c8f956b61dad5ac04,w/o KAM,,
610f84577db242985e066425,w/o KAM,,
611d0fba4772f6d77beb2028,w/o KAM,,
61cbf90eb3d862a216c88129,w/o KAM,,
61dbb3bb53bb9e46c19a5bde,w/o KAM,,
6424ee2f8916d914783e5020,w/o KAM,,
66a113e08a48cda79c501812,Kristina,,
62184be4040e613b2c8f42c9,Laura,,
628b805fe039969b0cbf32de,Laura,,
1512147441503724891-11-11-26193-4230517898,Olina,Shenzhen Yafex,
5b9222a78b2c370bf83e2947,Olina,Shenzhen Yafex,
619465a710e9f8d98c7dc8fd,Olina,Shenzhen Yafex,
1484841008919671217-60-11-26341-1068133473,Katya,Hanna Fashion,
60d7e6d5e4b7cd4de955c799,Henry,Qinqingmaoyi,Electronics & HA
611b3a8ef6ce56d4324c87da,Marf,QM Store,
5ae2aa3c8b45130b95e911aa,w/o KAM,yiwushi yuanhe trading,
6603ee9ab1270bdbb91ae592,Kristina,Shenzhen Stone E-Commerce,
5bed1c9a36b54d0b388f9355,Marf,yiwugangan,
1506537463480033756-238-11-709-1777528824,w/o KAM,Shake,
5c2478a81436d40b01b0f201,Marf,LE SKY Store,
5ae2a7ef8b2c370b99719b27,Mengping,Ningbo Sameng,
61c28919f41ad1f48a1d4027,Ida,GeorgeLiu,
5d7691bd8b45130b01d3aff0,Mengping,Chentao,
60b9e16aa3c178e4965dd504,Yilia,Dahe,
5b10fd7d8b45130bd0562bda,Olina,PanMy,
641e67c2f07cfa2f6ca1d068,Maria,Fancy Carp,
5bef92c71436d40b015c0f2d,Maria,LAMUSELAND,
61655521f56352b5a82fef40,w/o KAM,ayevin,
64115d448033c9bf89423f88,w/o KAM,HXLED,
1505933012451752510-73-11-26193-2886475205,Vadim,Jiang,
5af169aa1436d40bb1c5e301,Vadim,jinmeige,
5bf4fe528b45130b012135ce,Vadim,JSG,
63744e9c9083c17f3a567eb3,w/o KAM,xgxdgdeex,
5dbbe8841436d40b014e8b64,Victoria,phoenixy,
5c00e04236b54d0b01910c0b,Victoria,phoenixy,
1509388547961061766-126-11-709-848684924,Vadim,PanMy,
5d0c8e478b45130b01b8ddc4,Loria,,
5f0d4a15cf72d10b07ee1fbb,Loria,,
628ce3ce09d6ea431b2b8045,Mengping,,
60d988eae4b7cd4de99ccee5,Monica,,
61938b2915e12144f952d948,Vadim,,
62f510f30812a97e5ef2d811,Vadim,,
5d19e7ba6ecda80b018bd17a,w/o KAM,,
60ae2369a46bb729cc4c4068,w/o KAM,,
60cfea49e09fea9cd4e8704d,w/o KAM,,
60f6f38d62d7b85f6a6d9752,w/o KAM,,
6137af923e1e08053f371cea,w/o KAM,,
613ebbfbff5cfe697e4b017f,w/o KAM,,
614de49e7d1abc8a410ae923,w/o KAM,,
6363ef61b0bf8b0197ad0f72,w/o KAM,,
63749d4a92dfa037aefd847c,w/o KAM,,
63798192ada2061eb8a1cac2,w/o KAM,,
6381d91a928704ffabbd0ce1,w/o KAM,,
