order_id,order_created_date,gmv_initial,initial_gross_profit,final_gross_profit
679a3b075760b420efa32f75,2025-01-28,800.67,80.07,80.07
679a8be56fe9614353c8244f,2025-01-29,476.28,47.63,47.63
679a97c050edc4f7f8a21d71,2025-01-29,2479.0,247.9,247.9
679b7ba16fe9614353c826d8,2025-01-30,413.14,41.31,41.31
679b809850edc4f7f8a21f59,2025-01-29,1223.26,122.33,122.33
679b9a9761c09318cde7c014,2025-01-30,13386.93,-2365.16,-2365.16
679b9d0e61c09318cde7c035,2025-01-31,52642.44,1228.64,1228.64
679b9f5963be474e81bdc62c,2025-01-29,797.17,79.72,79.72
679bb58763be474e81bdc75c,2025-01-29,456.62,45.66,45.66
679bc9a163be474e81bdc883,2025-01-30,224.34,22.43,22.43
679cd7df63be474e81bdce1e,2025-01-30,753.4,75.34,75.34
679cdc7661c09318cde7c840,2025-01-30,344.65,34.47,34.47
679d258763be474e81be1ee7,2025-01-31,1178.04,117.8,117.8
679d2b1861c09318cde8191f,2025-01-31,1572.75,157.28,157.28
679d2c6e63be474e81be1f56,2025-01-31,485.47,48.55,48.55
679d373163be474e81be1fe7,2025-01-31,385.72,38.57,38.57
679d3b6561c09318cde819ea,2025-01-31,491.87,49.19,49.19
67a0ff6909fec9cbdd45b05b,2025-02-03,143.79,14.38,14.38
67a10ea072b672afc4f47b85,2025-02-03,398.49,39.85,39.85
67a10f1a72b672afc4f47b91,2025-02-01,291.95,29.2,29.2
67a11ae562f5db5e83f0ced7,2025-02-03,128.04,12.8,12.8
67a11bc162f5db5e83f0cee5,2025-02-03,516.53,51.65,51.65
67a12a1762f5db5e83f0f2e2,2025-02-03,515.67,51.57,51.57
67a2315672b672afc4f4b05f,2025-02-04,2540.63,254.06,254.06
67a2418362f5db5e83f0fc0e,2025-02-04,273.75,27.38,27.38
67a257f672b672afc4f4b0ba,2025-02-04,213.92,21.39,21.39
67a25cb262f5db5e83f0fc53,2025-02-04,111.91,11.19,11.19
67a2786f72b672afc4f4b124,2025-02-04,1910.22,191.02,191.02
67a38149e5e4959a3b39f0cb,2025-02-05,622.91,62.29,62.29
67a38493e5e4959a3b39f0f1,2025-02-04,115.37,11.54,11.54
67a39736e5e4959a3b39f131,2025-02-05,201.37,20.14,20.14
67a3aa15950775cbf83f5a77,2025-02-05,394.38,39.44,39.44
67a3ac0d950775cbf83f5a8b,2025-02-05,381.44,38.14,38.14
67a4a81d54470e5eb2c34048,2025-02-05,2922.96,292.3,292.3
