campaign_id,campaign,medium,source,partner,app_device_type,campaign_platform,campaign_date_utc,clicks,spend
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-17,13,2.86
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-18,13,2.86
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-19,15,3.3
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-20,19,4.18
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-21,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-22,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-23,41,9.02
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-24,49,10.78
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-25,8,1.76
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-26,13,2.86
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-27,8,1.76
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-28,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-29,18,3.96
,apomio_feed_promo,,apomio,onfy,web,web,2024-01-30,13,2.86
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-12,7,1.54
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-13,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-14,36,7.92
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-15,20,4.4
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-16,27,5.94
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-17,21,4.62
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-18,22,4.84
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-19,32,7.04
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-20,30,6.6
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-21,40,8.8
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-22,28,6.16
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-23,28,6.16
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-24,38,8.36
,apomio_feed_promo,,apomio,onfy,web,web,2024-02-25,26,5.72
